has,prefers,count
"Stanford","Stanford",8
"UC Berkeley","UC Berkeley",6
"MIT","MIT",22
"Caltech","Caltech",2
"Harvard","Harvard",2
"Cornell","Cornell",3
"Carnegie Mellon","Carnegie Mellon",16
"Princeton","Princeton",1
"Yale","Yale",0
"Washington","Washington",1
"Illinois, Urb. Champ.","Illinois, Urb. Champ.",2
"Wisconsin, Madison","Wisconsin, Madison",1
"UPenn","UPenn",1
"Rice","Rice",2
"UCLA","UCLA",4
"NYU","NYU",1
"Chicago","Chicago",0
"UT, Austin","UT, Austin",2
"Brown","Brown",1
"Columbia","Columbia",1
"Toronto","Toronto",15
"Rochester","Rochester",2
"Southern California","Southern California",3
"Johns Hopkins","Johns Hopkins",0
"UMass, Amherst","UMass, Amherst",2
"UC San Diego","UC San Diego",2
"Maryland, College Park","Maryland, College Park",2
"Michigan","Michigan",3
"UNC","UNC",2
"Duke","Duke",1
"SUNY Stony Brook","SUNY Stony Brook",2
"UC Irvine","UC Irvine",1
"Dartmouth","Dartmouth",0
"Virginia","Virginia",1
"Purdue","Purdue",1
"Minnesota, Minneapolis","Minnesota, Minneapolis",2
"Georgia Tech","Georgia Tech",3
"Rutgers","Rutgers",0
"Arizona","Arizona",2
"Penn. State","Penn. State",3
"Ohio State","Ohio State",2
"Northwestern","Northwestern",1
"Wash. U. St. Louis","Wash. U. St. Louis",2
"Pittsburgh","Pittsburgh",1
"Boston Univ.","Boston Univ.",0
"British Columbia","British Columbia",2
"Oregon","Oregon",0
"Syracuse","Syracuse",4
"UC Santa Barbara","UC Santa Barbara",0
"Utah","Utah",5
"UC Davis","UC Davis",0
"Texas A&M","Texas A&M",0
"Houston","Houston",0
"Michigan State","Michigan State",0
"Waterloo","Waterloo",7
"Colorado, Boulder","Colorado, Boulder",0
"McGill","McGill",5
"CUNY Graduate Center","CUNY Graduate Center",0
"Case Western","Case Western",1
"UC Riverside","UC Riverside",0
"Kansas","Kansas",1
"Florida State","Florida State",0
"William and Mary","William and Mary",0
"Lehigh","Lehigh",1
"Montreal","Montreal",13
"Simon Fraser","Simon Fraser",1
"Illinois, Chicago","Illinois, Chicago",1
"Cincinnati","Cincinnati",1
"UC Santa Cruz","UC Santa Cruz",0
"Rensselaer Polytech.","Rensselaer Polytech.",0
"Southern Methodist","Southern Methodist",2
"Central Florida","Central Florida",0
"New Mexico","New Mexico",0
"NC State","NC State",3
"SUNY Buffalo","SUNY Buffalo",1
"Stevens Inst. Tech.","Stevens Inst. Tech.",0
"Washington State, Pullman","Washington State, Pullman",0
"McMaster","McMaster",1
"Brandeis","Brandeis",0
"Alberta","Alberta",1
"George Washington","George Washington",1
"Poly. Inst. of NYU","Poly. Inst. of NYU",2
"Iowa","Iowa",0
"Delaware","Delaware",2
"Iowa State","Iowa State",0
"Vanderbilt","Vanderbilt",1
"Florida","Florida",1
"George Mason","George Mason",0
"Notre Dame","Notre Dame",1
"Wayne State","Wayne State",1
"Calgary","Calgary",3
"Louisiana, Lafayette","Louisiana, Lafayette",0
"Western Ontario","Western Ontario",3
"Carleton","Carleton",6
"Queens","Queens",2
"Wisconsin, Milwaukee","Wisconsin, Milwaukee",0
"Louisiana State","Louisiana State",0
"Texas, Arlington","Texas, Arlington",1
"Ottawa","Ottawa",4
"UConn","UConn",1
"Oregon Hlth & Sci","Oregon Hlth & Sci",2
"Arizona State","Arizona State",0
"Kansas State","Kansas State",4
"SUNY Albany","SUNY Albany",1
"South Florida","South Florida",0
"Virginia Tech","Virginia Tech",0
"Portland State","Portland State",0
"South Carolina","South Carolina",1
"Missouri Sci. & Tech.","Missouri Sci. & Tech.",0
"Oklahoma","Oklahoma",0
"Indiana","Indiana",4
"Illinois Inst. Tech.","Illinois Inst. Tech.",0
"Tennessee, Knoxville","Tennessee, Knoxville",1
"Miami","Miami",0
"New Jersey Inst. Tech.","New Jersey Inst. Tech.",0
"Kentucky","Kentucky",0
"SUNY Binghamton","SUNY Binghamton",1
"Colorado State","Colorado State",0
"Colorado, Denver","Colorado, Denver",0
"Texas, Dallas","Texas, Dallas",0
"Rhode Island","Rhode Island",0
"Toyota Tech. Chicago","Toyota Tech. Chicago",0
"Auburn","Auburn",1
"Drexel","Drexel",2
"Oregon State","Oregon State",0
"Manitoba","Manitoba",7
"Regina","Regina",3
"Nebraska, Lincoln","Nebraska, Lincoln",2
"Saskatchewan","Saskatchewan",0
"Florida Atlantic","Florida Atlantic",3
"Texas, San Antonio","Texas, San Antonio",1
"Denver","Denver",0
"Maryland, Balt. County","Maryland, Balt. County",1
"Oakland (Michigan)","Oakland (Michigan)",0
"Maine","Maine",1
"Clarkson","Clarkson",0
"New Mexico State","New Mexico State",1
"Memphis","Memphis",0
"Victoria","Victoria",0
"Concordia, Montreal","Concordia, Montreal",3
"Missouri, Kansas City","Missouri, Kansas City",1
"Missouri, Columbia","Missouri, Columbia",0
"Dalhousie","Dalhousie",2
"Virginia Commonwealth","Virginia Commonwealth",0
"Worcester Poly.","Worcester Poly.",0
"Old Dominion","Old Dominion",1
"Texas, El Paso","Texas, El Paso",0
"Naval Postgrad. Sch.","Naval Postgrad. Sch.",1
"UMass, Boston","UMass, Boston",0
"Wyoming","Wyoming",0
"York","York",1
"Georgia","Georgia",0
"Mississippi State","Mississippi State",3
"Tufts","Tufts",1
"Florida Intl","Florida Intl",0
"Southern Ill., Carbondale","Southern Ill., Carbondale",1
"Ohio","Ohio",0
"Claremont Graduate","Claremont Graduate",1
"Catholic Univ. America","Catholic Univ. America",0
"Clemson","Clemson",1
"UMass, Lowell","UMass, Lowell",0
"Oklahoma State","Oklahoma State",0
"UNC, Charlotte","UNC, Charlotte",0
"Alabama, Birmingham","Alabama, Birmingham",1
"Santa Clara","Santa Clara",0
"Hawaii, Manoa","Hawaii, Manoa",1
"Temple","Temple",2
"Toledo","Toledo",0
"Michigan Tech.","Michigan Tech.",0
"New Hampshire","New Hampshire",0
"Montana State","Montana State",0
"New Brunswick","New Brunswick",2
"Wright State","Wright State",0
"Western Michigan","Western Michigan",1
"Northeastern","Northeastern",0
"Alabama, Huntsville","Alabama, Huntsville",0
"Idaho, Moscow","Idaho, Moscow",1
"Texas Tech","Texas Tech",1
"Tulsa","Tulsa",2
"Mississippi","Mississippi",1
"Brigham Young","Brigham Young",8
"Long Island","Long Island",0
"Southern Mississippi","Southern Mississippi",0
"Colorado, Colorado Springs","Colorado, Colorado Springs",0
"Colorado School of Mines","Colorado School of Mines",0
"Georgia State","Georgia State",0
"Nevada, Las Vegas","Nevada, Las Vegas",0
"Kent State","Kent State",1
"Memorial Newfoundland","Memorial Newfoundland",1
"Utah State","Utah State",0
"DePaul","DePaul",0
"North Dakota State","North Dakota State",0
"Nova Southeastern","Nova Southeastern",7
"Arkansas, Fayetteville","Arkansas, Fayetteville",1
"Bridgeport","Bridgeport",0
"Louisville","Louisville",0
"Nebraska, Omaha","Nebraska, Omaha",0
"Florida Inst. Tech.","Florida Inst. Tech.",0
"Arkansas, Little Rock","Arkansas, Little Rock",0
"Rochester Inst. Tech.","Rochester Inst. Tech.",0
"Pace","Pace",0
"New Mexico Inst. Min. Tech.","New Mexico Inst. Min. Tech.",0
"Nevada, Reno","Nevada, Reno",0
"Alabama, Tuscaloosa","Alabama, Tuscaloosa",2
"North Texas, Denton","North Texas, Denton",0
"UC Berkeley","Stanford",7
"MIT","Stanford",8
"Caltech","Stanford",2
"Harvard","Stanford",2
"Cornell","Stanford",2
"Carnegie Mellon","Stanford",4
"Princeton","Stanford",1
"Yale","Stanford",1
"Wisconsin, Madison","Stanford",1
"UCLA","Stanford",2
"Michigan","Stanford",1
"UNC","Stanford",1
"SUNY Stony Brook","Stanford",1
"Waterloo","Stanford",1
"Stanford","UC Berkeley",8
"MIT","UC Berkeley",7
"Caltech","UC Berkeley",1
"Harvard","UC Berkeley",2
"Carnegie Mellon","UC Berkeley",5
"Princeton","UC Berkeley",1
"Washington","UC Berkeley",1
"Illinois, Urb. Champ.","UC Berkeley",1
"Wisconsin, Madison","UC Berkeley",2
"UCLA","UC Berkeley",1
"Chicago","UC Berkeley",1
"UC San Diego","UC Berkeley",1
"Georgia Tech","UC Berkeley",1
"Pittsburgh","UC Berkeley",1
"Utah","UC Berkeley",1
"Stanford","MIT",11
"UC Berkeley","MIT",10
"Caltech","MIT",2
"Harvard","MIT",3
"Carnegie Mellon","MIT",2
"Princeton","MIT",1
"Rice","MIT",1
"Toronto","MIT",1
"Minnesota, Minneapolis","MIT",1
"Waterloo","MIT",1
"UC Berkeley","Caltech",2
"MIT","Caltech",3
"Carnegie Mellon","Caltech",2
"Princeton","Caltech",1
"Rensselaer Polytech.","Caltech",1
"Stanford","Harvard",2
"UC Berkeley","Harvard",1
"MIT","Harvard",1
"Cornell","Harvard",1
"Carnegie Mellon","Harvard",2
"Princeton","Harvard",3
"Washington","Harvard",1
"UPenn","Harvard",1
"UMass, Amherst","Harvard",1
"SUNY Stony Brook","Harvard",1
"Stanford","Cornell",6
"UC Berkeley","Cornell",5
"MIT","Cornell",7
"Caltech","Cornell",3
"Harvard","Cornell",1
"Washington","Cornell",2
"Illinois, Urb. Champ.","Cornell",2
"Wisconsin, Madison","Cornell",2
"UPenn","Cornell",1
"Chicago","Cornell",1
"Toronto","Cornell",1
"Southern California","Cornell",1
"UMass, Amherst","Cornell",1
"Michigan","Cornell",1
"SUNY Stony Brook","Cornell",1
"Minnesota, Minneapolis","Cornell",1
"British Columbia","Cornell",1
"UC Santa Cruz","Cornell",1
"Stanford","Carnegie Mellon",10
"UC Berkeley","Carnegie Mellon",14
"MIT","Carnegie Mellon",14
"Caltech","Carnegie Mellon",2
"Harvard","Carnegie Mellon",3
"Cornell","Carnegie Mellon",3
"Princeton","Carnegie Mellon",1
"Yale","Carnegie Mellon",4
"Washington","Carnegie Mellon",2
"UCLA","Carnegie Mellon",1
"Chicago","Carnegie Mellon",2
"UT, Austin","Carnegie Mellon",1
"Brown","Carnegie Mellon",1
"Columbia","Carnegie Mellon",2
"Toronto","Carnegie Mellon",3
"Johns Hopkins","Carnegie Mellon",1
"UMass, Amherst","Carnegie Mellon",2
"Michigan","Carnegie Mellon",2
"Dartmouth","Carnegie Mellon",1
"Virginia","Carnegie Mellon",1
"Georgia Tech","Carnegie Mellon",1
"Pittsburgh","Carnegie Mellon",4
"Colorado, Boulder","Carnegie Mellon",1
"Stevens Inst. Tech.","Carnegie Mellon",1
"Nebraska, Lincoln","Carnegie Mellon",1
"Stanford","Princeton",5
"UC Berkeley","Princeton",3
"MIT","Princeton",1
"Harvard","Princeton",1
"Cornell","Princeton",1
"Carnegie Mellon","Princeton",2
"Yale","Princeton",2
"Washington","Princeton",2
"Illinois, Urb. Champ.","Princeton",1
"Rice","Princeton",1
"Toronto","Princeton",1
"Purdue","Princeton",1
"Stanford","Yale",1
"UC Berkeley","Yale",1
"MIT","Yale",5
"Harvard","Yale",2
"Carnegie Mellon","Yale",1
"Princeton","Yale",1
"Rice","Yale",1
"UT, Austin","Yale",1
"SUNY Stony Brook","Yale",2
"Utah","Yale",1
"Drexel","Yale",1
"Stanford","Washington",3
"UC Berkeley","Washington",6
"MIT","Washington",5
"Caltech","Washington",1
"Cornell","Washington",1
"Carnegie Mellon","Washington",6
"Princeton","Washington",1
"Illinois, Urb. Champ.","Washington",1
"Wisconsin, Madison","Washington",1
"UPenn","Washington",1
"UT, Austin","Washington",1
"Toronto","Washington",4
"Rochester","Washington",1
"UC San Diego","Washington",1
"UC Irvine","Washington",1
"Georgia Tech","Washington",1
"UC Davis","Washington",1
"Southern Methodist","Washington",1
"Stanford","Illinois, Urb. Champ.",6
"UC Berkeley","Illinois, Urb. Champ.",4
"MIT","Illinois, Urb. Champ.",2
"Caltech","Illinois, Urb. Champ.",1
"Harvard","Illinois, Urb. Champ.",1
"Cornell","Illinois, Urb. Champ.",2
"Carnegie Mellon","Illinois, Urb. Champ.",3
"Princeton","Illinois, Urb. Champ.",1
"Yale","Illinois, Urb. Champ.",2
"Washington","Illinois, Urb. Champ.",1
"Wisconsin, Madison","Illinois, Urb. Champ.",4
"UPenn","Illinois, Urb. Champ.",1
"UC San Diego","Illinois, Urb. Champ.",1
"Michigan","Illinois, Urb. Champ.",4
"SUNY Stony Brook","Illinois, Urb. Champ.",2
"Minnesota, Minneapolis","Illinois, Urb. Champ.",1
"Ohio State","Illinois, Urb. Champ.",1
"Colorado, Boulder","Illinois, Urb. Champ.",1
"Illinois, Chicago","Illinois, Urb. Champ.",1
"George Mason","Illinois, Urb. Champ.",1
"Stanford","Wisconsin, Madison",2
"UC Berkeley","Wisconsin, Madison",6
"MIT","Wisconsin, Madison",2
"Cornell","Wisconsin, Madison",2
"Carnegie Mellon","Wisconsin, Madison",5
"Washington","Wisconsin, Madison",4
"Illinois, Urb. Champ.","Wisconsin, Madison",2
"Chicago","Wisconsin, Madison",1
"UT, Austin","Wisconsin, Madison",1
"UC San Diego","Wisconsin, Madison",1
"Maryland, College Park","Wisconsin, Madison",2
"Boston Univ.","Wisconsin, Madison",1
"Stanford","UPenn",4
"UC Berkeley","UPenn",3
"MIT","UPenn",3
"Harvard","UPenn",1
"Cornell","UPenn",2
"Carnegie Mellon","UPenn",1
"Princeton","UPenn",1
"Yale","UPenn",1
"Washington","UPenn",1
"Wisconsin, Madison","UPenn",3
"Rice","UPenn",1
"UCLA","UPenn",1
"Columbia","UPenn",1
"Toronto","UPenn",1
"Stanford","Rice",2
"MIT","Rice",2
"Cornell","Rice",1
"Carnegie Mellon","Rice",1
"Princeton","Rice",1
"UT, Austin","Rice",2
"Rochester","Rice",2
"Johns Hopkins","Rice",1
"Georgia Tech","Rice",1
"Stanford","UCLA",4
"UC Berkeley","UCLA",4
"MIT","UCLA",6
"Caltech","UCLA",1
"Harvard","UCLA",1
"Carnegie Mellon","UCLA",1
"Yale","UCLA",1
"Washington","UCLA",1
"Illinois, Urb. Champ.","UCLA",5
"NYU","UCLA",1
"Columbia","UCLA",1
"Toronto","UCLA",1
"UC San Diego","UCLA",1
"Ohio State","UCLA",1
"Stanford","NYU",3
"UC Berkeley","NYU",2
"MIT","NYU",1
"Caltech","NYU",1
"Harvard","NYU",2
"Cornell","NYU",1
"Carnegie Mellon","NYU",1
"Princeton","NYU",1
"Yale","NYU",3
"Washington","NYU",2
"Wisconsin, Madison","NYU",1
"Columbia","NYU",1
"MIT","Chicago",5
"Cornell","Chicago",4
"Carnegie Mellon","Chicago",1
"Princeton","Chicago",1
"Illinois, Urb. Champ.","Chicago",2
"Rice","Chicago",1
"Columbia","Chicago",1
"Utah","Chicago",1
"Stanford","UT, Austin",2
"UC Berkeley","UT, Austin",3
"MIT","UT, Austin",6
"Caltech","UT, Austin",1
"Harvard","UT, Austin",1
"Cornell","UT, Austin",3
"Carnegie Mellon","UT, Austin",2
"Princeton","UT, Austin",1
"Washington","UT, Austin",1
"Illinois, Urb. Champ.","UT, Austin",1
"UCLA","UT, Austin",2
"Brown","UT, Austin",1
"Columbia","UT, Austin",1
"Toronto","UT, Austin",1
"Johns Hopkins","UT, Austin",1
"Maryland, College Park","UT, Austin",1
"Michigan","UT, Austin",1
"UC Irvine","UT, Austin",2
"Waterloo","UT, Austin",1
"Texas, Dallas","UT, Austin",1
"UC Berkeley","Brown",2
"MIT","Brown",7
"Caltech","Brown",1
"Carnegie Mellon","Brown",1
"Yale","Brown",1
"Illinois, Urb. Champ.","Brown",1
"UPenn","Brown",1
"Rice","Brown",1
"Southern California","Brown",1
"UC San Diego","Brown",1
"Maryland, College Park","Brown",1
"Stanford","Columbia",5
"UC Berkeley","Columbia",3
"MIT","Columbia",3
"Harvard","Columbia",2
"Carnegie Mellon","Columbia",2
"Princeton","Columbia",2
"UPenn","Columbia",3
"UCLA","Columbia",1
"NYU","Columbia",1
"UT, Austin","Columbia",1
"Brown","Columbia",1
"UMass, Amherst","Columbia",3
"UNC","Columbia",1
"Dartmouth","Columbia",1
"Stanford","Toronto",2
"MIT","Toronto",4
"Caltech","Toronto",1
"Harvard","Toronto",2
"Cornell","Toronto",1
"Carnegie Mellon","Toronto",3
"Princeton","Toronto",1
"Wisconsin, Madison","Toronto",1
"Rice","Toronto",1
"NYU","Toronto",1
"Brown","Toronto",1
"Maryland, College Park","Toronto",1
"Michigan","Toronto",1
"Dartmouth","Toronto",1
"Georgia Tech","Toronto",1
"Rutgers","Toronto",1
"Ohio State","Toronto",1
"Alberta","Toronto",1
"Stanford","Rochester",1
"UC Berkeley","Rochester",1
"MIT","Rochester",1
"Cornell","Rochester",3
"Washington","Rochester",1
"Illinois, Urb. Champ.","Rochester",1
"Wisconsin, Madison","Rochester",1
"Chicago","Rochester",2
"Brown","Rochester",1
"Toronto","Rochester",2
"UMass, Amherst","Rochester",1
"Maryland, College Park","Rochester",1
"UC Santa Barbara","Rochester",1
"Waterloo","Rochester",1
"Stanford","Southern California",1
"UC Berkeley","Southern California",2
"MIT","Southern California",2
"Caltech","Southern California",1
"Cornell","Southern California",1
"Carnegie Mellon","Southern California",6
"Princeton","Southern California",1
"Wisconsin, Madison","Southern California",2
"UPenn","Southern California",1
"UCLA","Southern California",1
"Rochester","Southern California",1
"UNC","Southern California",1
"UC Irvine","Southern California",1
"Georgia Tech","Southern California",1
"Stanford","Johns Hopkins",1
"Cornell","Johns Hopkins",1
"Princeton","Johns Hopkins",1
"UPenn","Johns Hopkins",4
"UCLA","Johns Hopkins",2
"Brown","Johns Hopkins",1
"Michigan","Johns Hopkins",1
"Northwestern","Johns Hopkins",1
"UC Santa Cruz","Johns Hopkins",1
"Stanford","UMass, Amherst",2
"UC Berkeley","UMass, Amherst",2
"MIT","UMass, Amherst",5
"Cornell","UMass, Amherst",2
"Princeton","UMass, Amherst",1
"Washington","UMass, Amherst",1
"UPenn","UMass, Amherst",1
"UCLA","UMass, Amherst",1
"UT, Austin","UMass, Amherst",6
"Columbia","UMass, Amherst",1
"Rochester","UMass, Amherst",1
"Maryland, College Park","UMass, Amherst",1
"Michigan","UMass, Amherst",3
"Virginia","UMass, Amherst",1
"Rutgers","UMass, Amherst",1
"Wash. U. St. Louis","UMass, Amherst",1
"Utah","UMass, Amherst",1
"UC Santa Cruz","UMass, Amherst",1
"Stanford","UC San Diego",6
"UC Berkeley","UC San Diego",8
"MIT","UC San Diego",7
"Cornell","UC San Diego",1
"Princeton","UC San Diego",1
"Washington","UC San Diego",6
"Illinois, Urb. Champ.","UC San Diego",1
"UPenn","UC San Diego",1
"UCLA","UC San Diego",1
"Rochester","UC San Diego",1
"Southern California","UC San Diego",1
"UC Irvine","UC San Diego",1
"Penn. State","UC San Diego",2
"Stanford","Maryland, College Park",1
"UC Berkeley","Maryland, College Park",2
"MIT","Maryland, College Park",3
"Harvard","Maryland, College Park",3
"Cornell","Maryland, College Park",4
"Carnegie Mellon","Maryland, College Park",1
"Princeton","Maryland, College Park",1
"Yale","Maryland, College Park",1
"Washington","Maryland, College Park",1
"Illinois, Urb. Champ.","Maryland, College Park",1
"Wisconsin, Madison","Maryland, College Park",2
"UPenn","Maryland, College Park",2
"Rice","Maryland, College Park",2
"NYU","Maryland, College Park",2
"UT, Austin","Maryland, College Park",1
"Columbia","Maryland, College Park",1
"Toronto","Maryland, College Park",1
"Rochester","Maryland, College Park",2
"Southern California","Maryland, College Park",1
"Johns Hopkins","Maryland, College Park",2
"UNC","Maryland, College Park",1
"Duke","Maryland, College Park",1
"SUNY Stony Brook","Maryland, College Park",1
"UC Irvine","Maryland, College Park",1
"Purdue","Maryland, College Park",1
"Georgia Tech","Maryland, College Park",1
"Pittsburgh","Maryland, College Park",1
"Syracuse","Maryland, College Park",1
"Stanford","Michigan",2
"UC Berkeley","Michigan",4
"MIT","Michigan",8
"Cornell","Michigan",1
"Carnegie Mellon","Michigan",5
"Princeton","Michigan",4
"Washington","Michigan",1
"Illinois, Urb. Champ.","Michigan",6
"Wisconsin, Madison","Michigan",3
"UCLA","Michigan",1
"UT, Austin","Michigan",2
"Columbia","Michigan",1
"Southern California","Michigan",1
"UMass, Amherst","Michigan",3
"UC San Diego","Michigan",1
"Minnesota, Minneapolis","Michigan",1
"Rutgers","Michigan",1
"Indiana","Michigan",1
"Stanford","UNC",2
"UC Berkeley","UNC",3
"Harvard","UNC",2
"Cornell","UNC",2
"Washington","UNC",1
"Wisconsin, Madison","UNC",1
"NYU","UNC",1
"UT, Austin","UNC",2
"Columbia","UNC",1
"Duke","UNC",1
"Virginia","UNC",1
"Purdue","UNC",1
"Georgia Tech","UNC",1
"Utah","UNC",1
"Clemson","UNC",1
"Stanford","Duke",3
"UC Berkeley","Duke",2
"MIT","Duke",3
"Caltech","Duke",1
"Harvard","Duke",2
"Carnegie Mellon","Duke",2
"Washington","Duke",1
"Wisconsin, Madison","Duke",2
"Michigan","Duke",1
"Stanford","SUNY Stony Brook",1
"UC Berkeley","SUNY Stony Brook",3
"MIT","SUNY Stony Brook",1
"Harvard","SUNY Stony Brook",2
"Cornell","SUNY Stony Brook",1
"Illinois, Urb. Champ.","SUNY Stony Brook",1
"Wisconsin, Madison","SUNY Stony Brook",1
"UPenn","SUNY Stony Brook",1
"NYU","SUNY Stony Brook",1
"UT, Austin","SUNY Stony Brook",2
"Brown","SUNY Stony Brook",2
"Columbia","SUNY Stony Brook",1
"Toronto","SUNY Stony Brook",1
"Michigan","SUNY Stony Brook",1
"Purdue","SUNY Stony Brook",1
"Georgia Tech","SUNY Stony Brook",1
"Penn. State","SUNY Stony Brook",1
"Ohio State","SUNY Stony Brook",2
"Stanford","UC Irvine",1
"UC Berkeley","UC Irvine",4
"MIT","UC Irvine",4
"Caltech","UC Irvine",3
"Princeton","UC Irvine",1
"Yale","UC Irvine",2
"Illinois, Urb. Champ.","UC Irvine",2
"UT, Austin","UC Irvine",1
"Columbia","UC Irvine",1
"Toronto","UC Irvine",1
"Southern California","UC Irvine",1
"UC San Diego","UC Irvine",1
"Maryland, College Park","UC Irvine",1
"UNC","UC Irvine",1
"Purdue","UC Irvine",1
"Ohio State","UC Irvine",1
"UC Riverside","UC Irvine",1
"Stanford","Dartmouth",2
"MIT","Dartmouth",2
"Harvard","Dartmouth",1
"Cornell","Dartmouth",2
"Carnegie Mellon","Dartmouth",2
"Princeton","Dartmouth",1
"Yale","Dartmouth",1
"Illinois, Urb. Champ.","Dartmouth",1
"UPenn","Dartmouth",1
"Duke","Dartmouth",1
"Ohio State","Dartmouth",1
"UC Berkeley","Virginia",2
"MIT","Virginia",2
"Princeton","Virginia",2
"Washington","Virginia",1
"Illinois, Urb. Champ.","Virginia",2
"UCLA","Virginia",1
"UT, Austin","Virginia",2
"Brown","Virginia",1
"UMass, Amherst","Virginia",1
"Maryland, College Park","Virginia",1
"Minnesota, Minneapolis","Virginia",1
"Arizona","Virginia",1
"Penn. State","Virginia",1
"MIT","Purdue",3
"Cornell","Purdue",2
"Carnegie Mellon","Purdue",1
"Princeton","Purdue",1
"Illinois, Urb. Champ.","Purdue",3
"Wisconsin, Madison","Purdue",1
"NYU","Purdue",2
"Chicago","Purdue",1
"UT, Austin","Purdue",1
"Johns Hopkins","Purdue",1
"UMass, Amherst","Purdue",1
"UC San Diego","Purdue",2
"Maryland, College Park","Purdue",3
"UNC","Purdue",2
"Minnesota, Minneapolis","Purdue",1
"Georgia Tech","Purdue",1
"Arizona","Purdue",1
"Penn. State","Purdue",1
"Ohio State","Purdue",1
"Boston Univ.","Purdue",1
"UC Santa Barbara","Purdue",1
"Michigan State","Purdue",1
"Alberta","Purdue",1
"Stanford","Minnesota, Minneapolis",1
"UC Berkeley","Minnesota, Minneapolis",3
"Cornell","Minnesota, Minneapolis",1
"Carnegie Mellon","Minnesota, Minneapolis",2
"Princeton","Minnesota, Minneapolis",1
"Washington","Minnesota, Minneapolis",1
"Illinois, Urb. Champ.","Minnesota, Minneapolis",1
"UPenn","Minnesota, Minneapolis",3
"UT, Austin","Minnesota, Minneapolis",3
"Brown","Minnesota, Minneapolis",1
"Columbia","Minnesota, Minneapolis",1
"Southern California","Minnesota, Minneapolis",2
"UMass, Amherst","Minnesota, Minneapolis",2
"Maryland, College Park","Minnesota, Minneapolis",1
"UC Irvine","Minnesota, Minneapolis",1
"Virginia","Minnesota, Minneapolis",2
"Purdue","Minnesota, Minneapolis",3
"Iowa","Minnesota, Minneapolis",1
"Stanford","Georgia Tech",1
"UC Berkeley","Georgia Tech",5
"MIT","Georgia Tech",8
"Caltech","Georgia Tech",1
"Cornell","Georgia Tech",2
"Carnegie Mellon","Georgia Tech",9
"Yale","Georgia Tech",2
"Washington","Georgia Tech",3
"Illinois, Urb. Champ.","Georgia Tech",3
"Wisconsin, Madison","Georgia Tech",3
"Brown","Georgia Tech",1
"Columbia","Georgia Tech",2
"Rochester","Georgia Tech",1
"Johns Hopkins","Georgia Tech",1
"UMass, Amherst","Georgia Tech",1
"Maryland, College Park","Georgia Tech",1
"Michigan","Georgia Tech",4
"UNC","Georgia Tech",1
"SUNY Stony Brook","Georgia Tech",1
"Minnesota, Minneapolis","Georgia Tech",1
"Penn. State","Georgia Tech",1
"Ohio State","Georgia Tech",1
"Northwestern","Georgia Tech",1
"Waterloo","Georgia Tech",1
"NC State","Georgia Tech",2
"Georgia","Georgia Tech",1
"Stanford","Rutgers",2
"UC Berkeley","Rutgers",1
"Harvard","Rutgers",2
"Princeton","Rutgers",2
"Washington","Rutgers",1
"Illinois, Urb. Champ.","Rutgers",1
"Wisconsin, Madison","Rutgers",2
"UPenn","Rutgers",2
"Rice","Rutgers",1
"UCLA","Rutgers",1
"Chicago","Rutgers",1
"Brown","Rutgers",1
"Toronto","Rutgers",2
"Rochester","Rutgers",1
"UMass, Amherst","Rutgers",1
"Maryland, College Park","Rutgers",2
"SUNY Stony Brook","Rutgers",1
"Minnesota, Minneapolis","Rutgers",1
"Georgia Tech","Rutgers",1
"Hawaii, Manoa","Rutgers",1
"UC Berkeley","Arizona",1
"MIT","Arizona",1
"Carnegie Mellon","Arizona",1
"UCLA","Arizona",1
"Johns Hopkins","Arizona",1
"Maryland, College Park","Arizona",1
"SUNY Stony Brook","Arizona",1
"Purdue","Arizona",1
"Simon Fraser","Arizona",1
"UC Berkeley","Penn. State",2
"MIT","Penn. State",2
"Cornell","Penn. State",1
"Carnegie Mellon","Penn. State",1
"Princeton","Penn. State",1
"Washington","Penn. State",1
"UPenn","Penn. State",1
"NYU","Penn. State",1
"Columbia","Penn. State",1
"UMass, Amherst","Penn. State",2
"Michigan","Penn. State",2
"Georgia Tech","Penn. State",2
"Ohio State","Penn. State",2
"Northwestern","Penn. State",1
"Syracuse","Penn. State",1
"Iowa","Penn. State",1
"George Mason","Penn. State",1
"Louisiana, Lafayette","Penn. State",1
"South Florida","Penn. State",1
"UC Berkeley","Ohio State",1
"MIT","Ohio State",2
"Caltech","Ohio State",1
"Carnegie Mellon","Ohio State",1
"Illinois, Urb. Champ.","Ohio State",4
"Chicago","Ohio State",1
"UT, Austin","Ohio State",2
"Columbia","Ohio State",2
"Rochester","Ohio State",2
"Southern California","Ohio State",2
"Maryland, College Park","Ohio State",1
"SUNY Stony Brook","Ohio State",1
"Purdue","Ohio State",1
"Minnesota, Minneapolis","Ohio State",1
"Rutgers","Ohio State",1
"Utah","Ohio State",1
"UC Davis","Ohio State",1
"Texas A&M","Ohio State",1
"Colorado, Boulder","Ohio State",1
"McGill","Ohio State",1
"Stanford","Northwestern",1
"UC Berkeley","Northwestern",1
"MIT","Northwestern",5
"Carnegie Mellon","Northwestern",2
"Princeton","Northwestern",1
"Yale","Northwestern",3
"Washington","Northwestern",2
"Illinois, Urb. Champ.","Northwestern",3
"Wisconsin, Madison","Northwestern",1
"Rice","Northwestern",2
"UCLA","Northwestern",1
"UT, Austin","Northwestern",1
"Michigan","Northwestern",1
